Date,Adj Close
1995-01-03,3.550997
1995-01-04,3.525450
1995-01-05,3.550997
1995-01-06,3.525450
1995-01-09,3.550997
1995-01-10,3.602092
1995-01-11,3.576544
1995-01-12,3.550997
1995-01-13,3.525450
1995-01-16,3.576544
1995-01-17,3.550997
1995-01-18,3.550997
1995-01-19,3.576544
1995-01-20,3.550997
1995-01-23,3.499905
1995-01-24,3.525450
1995-01-25,3.525450
1995-01-26,3.525450
1995-01-27,3.576544
1995-01-30,3.653186
1995-01-31,3.653186
1996-01-02,4.378585
1996-01-03,4.322808
1996-01-04,4.350696
1996-01-05,4.406476
1996-01-08,4.406476
1996-01-09,4.406476
1996-01-10,4.406476
1996-01-11,4.462254
1996-01-12,4.462254
1996-01-15,4.434364
1996-01-16,4.490143
1996-01-17,4.573809
1996-01-18,4.545921
1996-01-19,4.545921
1996-01-22,4.545921
1996-01-23,4.518029
1996-01-24,4.518029
1996-01-25,4.545921
1996-01-26,4.545921
1996-01-29,4.545921
1996-01-30,4.629586
1996-01-31,4.657476
1997-01-02,6.471854
1997-01-03,6.320644
1997-01-06,6.290402
1997-01-07,6.290402
1997-01-08,6.260156
1997-01-09,6.290402
1997-01-10,6.260156
1997-01-13,6.260156
1997-01-14,6.411371
1997-01-15,6.471854
1997-01-16,6.502096
1997-01-17,6.532339
1997-01-20,6.562581
1997-01-21,6.562581
1997-01-22,6.532339
1997-01-23,6.471854
1997-01-24,6.441615
1997-01-27,6.471854
1997-01-28,6.441615
1997-01-29,6.441615
1997-01-30,6.411371
1997-01-31,6.502096
1998-01-02,9.429903
1998-01-05,9.349578
1998-01-06,9.397771
1998-01-07,9.397771
1998-01-08,9.381706
1998-01-09,9.365643
1998-01-12,9.413835
1998-01-13,9.413835
1998-01-14,9.542354
1998-01-15,9.606616
1998-01-16,9.622675
1998-01-20,9.622675
1998-01-21,9.606616
1998-01-22,9.702999
1998-01-23,9.574480
1998-01-26,9.702999
1998-01-27,9.622675
1998-01-28,9.638739
1998-01-29,9.622675
1998-01-30,9.542354
1999-01-04,10.320247
1999-01-05,10.303156
1999-01-06,10.354416
1999-01-07,10.115209
1999-01-08,9.961426
1999-01-11,10.063947
1999-01-12,9.944343
1999-01-13,9.893082
1999-01-14,9.961426
1999-01-15,9.995596
1999-01-19,10.012687
1999-01-20,9.978513
1999-01-21,9.910165
1999-01-22,10.286073
1999-01-25,10.422767
1999-01-26,10.525282
1999-01-27,10.234811
1999-01-28,10.286073
1999-01-29,10.149379
2000-01-03,11.064466
2000-01-04,10.918885
2000-01-05,11.028071
2000-01-06,11.246448
2000-01-07,11.373838
2000-01-10,11.555820
2000-01-11,11.501226
2000-01-12,11.501226
2000-01-13,11.319243
2000-01-14,10.937079
2000-01-18,11.119063
2000-01-19,11.210054
2000-01-20,11.028071
2000-01-21,11.119063
2000-01-24,10.991674
2000-01-25,10.846088
2000-01-26,10.755101
2000-01-27,10.991674
2000-01-28,10.991674
2000-01-31,11.028071
2001-01-02,15.410222
2001-01-03,15.487960
2001-01-04,15.468521
2001-01-05,14.885545
2001-01-08,14.807809
2001-01-09,14.846673
2001-01-10,14.730078
2001-01-11,14.652349
2001-01-12,14.652349
2001-01-16,14.535752
2001-01-17,14.419152
2001-01-18,14.419152
2001-01-19,14.458014
2001-01-22,14.613483
2001-01-23,14.807809
2001-01-24,14.904971
2001-01-25,14.924405
2001-01-26,14.710648
2001-01-29,14.458014
2001-01-30,14.560622
2001-01-31,14.576432
2002-01-02,15.133377
2002-01-03,15.340214
2002-01-04,15.340214
2002-01-07,15.366910
2002-01-08,15.380259
2002-01-09,15.330219
2002-01-10,15.166731
2002-01-11,15.019934
2002-01-14,15.096673
2002-01-15,14.993246
2002-01-16,14.949876
2002-01-17,14.826427
2002-01-18,14.639606
2002-01-22,14.666300
2002-01-23,14.612911
2002-01-24,14.606240
2002-01-25,14.546187
2002-01-28,14.559529
2002-01-29,14.629593
2002-01-30,14.706329
2002-01-31,14.821909
2003-01-02,13.547415
2003-01-03,13.861050
2003-01-06,14.062927
2003-01-07,13.882680
2003-01-08,13.803370
2003-01-09,13.861050
2003-01-10,13.853840
2003-01-13,13.785346
2003-01-14,13.857445
2003-01-15,13.756509
2003-01-16,13.561842
2003-01-17,13.406826
2003-01-21,13.374379
2003-01-22,13.266232
2003-01-23,13.194128
2003-01-24,13.067961
2003-01-27,12.999467
2003-01-28,13.010279
2003-01-29,13.067961
2003-01-30,12.941787
2003-01-31,13.104009
2004-01-02,13.513057
2004-01-05,13.556191
2004-01-06,13.705198
2004-01-07,13.344434
2004-01-08,13.579725
2004-01-09,13.450310
2004-01-12,13.418945
2004-01-13,13.446396
2004-01-14,13.509137
2004-01-15,13.430706
2004-01-16,13.313071
2004-01-20,13.238563
2004-01-21,13.175817
2004-01-22,13.136601
2004-01-23,13.164059
2004-01-26,13.183662
2004-01-27,13.273850
2004-01-28,13.548344
2004-01-29,13.497372
2004-01-30,13.795394
2005-01-03,16.211824
2005-01-04,15.983792
2005-01-05,15.308118
2005-01-06,15.181435
2005-01-07,15.185657
2005-01-10,15.050520
2005-01-11,14.856269
2005-01-12,14.843599
2005-01-13,14.970288
2005-01-14,15.139207
2005-01-18,15.455928
2005-01-19,15.485486
2005-01-20,15.257452
2005-01-21,15.409473
2005-01-24,15.308118
2005-01-25,14.898497
2005-01-26,15.075865
2005-01-27,15.012519
2005-01-28,15.147650
2005-01-31,15.160319
2006-01-03,17.673538
2006-01-04,17.833294
2006-01-05,18.129986
2006-01-06,18.358200
2006-01-09,18.554478
2006-01-10,18.855728
2006-01-11,18.828344
2006-01-12,18.901381
2006-01-13,18.609251
2006-01-17,18.563601
2006-01-18,18.517960
2006-01-19,18.714228
2006-01-20,18.440363
2006-01-23,18.622942
2006-01-24,18.901381
2006-01-25,19.083952
2006-01-26,19.143295
2006-01-27,19.435413
2006-01-30,19.284790
2006-01-31,19.408028
2007-01-03,26.707306
2007-01-04,26.803032
2007-01-05,26.161676
2007-01-08,26.482357
2007-01-09,26.970552
2007-01-10,27.693281
2007-01-11,28.004383
2007-01-12,27.985239
2007-01-16,28.760616
2007-01-17,28.818047
2007-01-18,28.808472
2007-01-19,29.066923
2007-01-22,28.674461
2007-01-23,28.784544
2007-01-24,29.172232
2007-01-25,29.435474
2007-01-26,29.497700
2007-01-29,29.717865
2007-01-30,29.713068
2007-01-31,29.976318
2008-01-02,18.144361
2008-01-03,17.749331
2008-01-04,17.300924
2008-01-07,17.348976
2008-01-08,16.404125
2008-01-09,17.012669
2008-01-10,17.567837
2008-01-11,17.765347
2008-01-14,17.647907
2008-01-15,17.231539
2008-01-16,17.968201
2008-01-17,17.765347
2008-01-18,17.850760
2008-01-22,18.598093
2008-01-23,20.824108
2008-01-24,20.498482
2008-01-25,20.712002
2008-01-28,21.528744
2008-01-29,21.272512
2008-01-30,20.946878
2008-01-31,21.069662
2009-01-02,9.061619
2009-01-05,8.874780
2009-01-06,9.886816
